l_abs_values_converted,l_euclidean_values_converted,w_abs_values_converted,w_euclidean_values_converted
5.524429967426711,5.5254132245257885,3.8045602605863196,3.8049172114020022
5.576547231270358,5.577521300663162,3.856677524429968,3.856677524429968
5.524429967426711,5.5254132245257885,3.856677524429968,3.857029652029371
5.576547231270358,5.577521300663162,3.9087947882736156,3.9585111873372236
5.628664495114006,5.6296295468990865,3.856677524429968,3.9351122722632277
5.732899022801303,5.73384653111664,3.9087947882736156,3.90914222125846
5.628664495114006,5.6296295468990865,4.013029315960912,4.03463030263701
5.680781758957655,5.681737958553546,4.06514657980456,4.105371850070719
5.680781758957655,5.681737958553546,3.856677524429968,3.8580858419954134
5.8892508143322475,5.890173171552364,3.856677524429968,3.859845516359197
5.524429967426711,5.5254132245257885,3.9087947882736156,3.9143500155049695
5.576547231270358,5.578738648234387,3.9087947882736156,3.910184334989487
5.524429967426711,5.524675798107327,3.9087947882736156,3.90914222125846
5.576547231270358,5.5767907645687815,3.960912052117264,3.963996741588309
5.524429967426711,5.526642049899489,3.960912052117264,3.963996741588309
5.576547231270358,5.576547231270358,3.960912052117264,3.960912052117264
5.628664495114006,5.628664495114006,3.7524429967426713,3.752804904733747
5.628664495114006,5.628905773571589,3.8045602605863196,3.8077716133123816
5.576547231270358,5.5767907645687815,3.8045602605863196,3.8045602605863196
5.576547231270358,5.577521300663162,3.8045602605863196,3.8049172114020022
5.628664495114006,5.630835629040503,3.8045602605863196,3.8556209486763113
5.576547231270358,5.580442488695486,3.856677524429968,3.8580858419954134
5.628664495114006,5.628905773571589,3.856677524429968,3.8580858419954134
5.4723127035830625,5.476282103110224,3.856677524429968,3.859845516359197
5.576547231270358,5.576547231270358,3.856677524429968,3.8623077135945603
5.628664495114006,5.628905773571589,3.856677524429968,3.9070571599200132
5.680781758957655,5.681737958553546,3.856677524429968,3.857029652029371
5.524429967426711,5.528361946549001,3.856677524429968,3.856677524429968
5.628664495114006,5.630835629040503,3.856677524429968,3.9157375908819465
5.576547231270358,5.582632376608083,3.856677524429968,3.857029652029371
5.576547231270358,5.577521300663162,3.856677524429968,3.8580858419954134
5.680781758957655,5.681737958553546,3.856677524429968,3.8580858419954134
5.628664495114006,5.630835629040503,3.8045602605863196,3.80598786298575
5.576547231270358,5.578738648234387,3.856677524429968,3.8580858419954134
5.680781758957655,5.682932981799184,3.856677524429968,3.8990540954825983
5.576547231270358,5.578738648234387,3.856677524429968,3.8580858419954134
5.680781758957655,5.6846055922952825,3.856677524429968,3.8580858419954134
5.680781758957655,5.682932981799184,3.9087947882736156,3.90914222125846
5.628664495114006,5.630835629040503,3.856677524429968,3.857029652029371
5.576547231270358,5.578738648234387,3.9087947882736156,3.90914222125846
5.628664495114006,5.637344013754771,3.856677524429968,3.857029652029371
5.732899022801303,5.735030696373915,3.9087947882736156,3.9087947882736156
5.576547231270358,5.577521300663162,3.9087947882736156,3.910184334989487
5.680781758957655,5.6846055922952825,3.856677524429968,3.9070571599200132
5.680781758957655,5.681737958553546,3.9087947882736156,3.9087947882736156
5.628664495114006,5.6296295468990865,3.9087947882736156,3.90914222125846
5.680781758957655,5.6846055922952825,3.856677524429968,3.859845516359197
5.732899022801303,5.735030696373915,3.9087947882736156,3.910184334989487
5.680781758957655,5.681737958553546,3.9087947882736156,3.9119205742895544
5.732899022801303,5.733135914560781,3.9087947882736156,3.90914222125846
5.732899022801303,5.73384653111664,3.9087947882736156,3.9763115695556954
5.732899022801303,5.73384653111664,3.960912052117264,3.9612549140137827
5.785016286644951,5.785016286644951,3.856677524429968,3.857029652029371
5.732899022801303,5.732899022801303,3.9087947882736156,3.910184334989487
5.628664495114006,5.632523710168098,3.9087947882736156,3.90914222125846
5.680781758957655,5.6867553686324275,3.9087947882736156,3.910184334989487
5.732899022801303,5.735030696373915,3.9087947882736156,3.9087947882736156
5.680781758957655,5.689381769908376,3.9087947882736156,3.9670790324920002
5.680781758957655,5.6867553686324275,3.960912052117264,3.963996741588309
5.732899022801303,5.735030696373915,3.960912052117264,3.963996741588309
5.628664495114006,5.6296295468990865,3.960912052117264,3.9612549140137827
5.785016286644951,5.785251044331429,3.9087947882736156,3.9119205742895544
5.732899022801303,5.732899022801303,3.960912052117264,4.009982345104124
5.785016286644951,5.785251044331429,3.960912052117264,3.963996741588309
5.680781758957655,5.681737958553546,3.960912052117264,3.9612549140137827
5.785016286644951,5.790882373741592,3.9087947882736156,3.9585111873372236
5.785016286644951,5.78877126718582,3.960912052117264,3.969474715169692
5.837133550488599,5.842947314156047,3.960912052117264,3.9622833216934383
5.785016286644951,5.785251044331429,3.960912052117264,3.969474715169692
5.680781758957655,5.681737958553546,3.960912052117264,4.037322299802333
5.837133550488599,5.837366212208225,3.960912052117264,3.966394285955012
5.785016286644951,5.78877126718582,3.960912052117264,3.9885883754835145
5.785016286644951,5.785955260240917,3.960912052117264,3.9885883754835145
5.837133550488599,5.840855025874929,3.960912052117264,3.963996741588309
5.8892508143322475,5.892939377013972,4.013029315960912,4.013367725483457
5.8892508143322475,5.891325915006568,4.013029315960912,4.014382782885048
5.941368078175896,5.943424982540158,3.960912052117264,3.960912052117264
,,4.013029315960912,4.01844044845889
,,3.960912052117264,4.002185102748767
,,4.013029315960912,4.014382782885048
,,4.013029315960912,4.053771774880533
,,4.013029315960912,4.013029315960912
,,4.06514657980456,4.130108196723691
